text,class
Большой выбор. Есть кассы самообслуживания что избавляет от необходимости стоять в очереди ☝️,1
"Постоянно там бываю, очень вежливые люди , хотя с выбором товаров могло быть и получше, но и так вполне достойный магазин",1
"Не самая удобная Пятёрочка, всегда большие очереди, много людей. Но в целом, неплохая, работает круглосуточно, это плюс ",0
"Заезжаю когда еду на даче , всегда есть то что нужно . ",1
Очередь большая ,0
Нужный магазин в нужном месте. На всю Литовскую улицу и не только единственный продуктовый магазин. ,1
"отличные продавцы, замечательный магазин. ",1
"Чистый,  просторный магазин. Есть вкусная горячая выпечка .",1
Скидки крутые просто бомба  и просрочки нет,1
"Хороший магазин, чисто, продукты разложены опрятно, персонал внимателен к покупателям, но не все ценники на товары  можно найти и это не удобно",1
Низкое качество продуктов,0
"Нет нормального выбора продукций, вечно пустые полки.",0
Поставили экспресс кассы. Теперь очередей нет. Очень удобно стало заходить по пути.,1
Пятёрочка моего детства,1
добавить самообслуживание и будет 5,1
"всегда есть то , что нужно , поставили красивые витрины , 1 явный минус - убрали из прихожей железные ящики для вещей",1
"Чисто, прилично, нормальная выкладка, нормальный ассортимент, хороший персонал. Претензий нет😀",1
"Хоть вход и неказистый, но внутри вполне себе обширный магазин с хорошим выбором продуктов и вежливыми продавцами",1
Частенько там бываю. Чисто. Кассиры адекватные.,1
"Все, что надо.",1
Там такая вкусная пекарня. кто будет обязательно Попробуйте,1
"Отличный магазин. Приятный, просторный, светлый. Ассортимент вполне разнообоазен.",1
"мне понравилось, то что нужно было купить всё нашла!",1
Хороший персонал,1
"Очень много просрочки и нужно всегда сверять ценники на товар,на полке одна цена,на кассе цена выше!",0
Хороший магазин у дома,1
"Находится рядом с домом, очень удобно",1
"Самая лучшая Пятёрочка в округе. Персонал приветливый, ассортимент товара большой. Всё что нужно купить, всегда есть. По возможности хожу только сюда.",1
"Отвратительный персонал, хамят на ровном месте. Ни какого конструктивного разговора",0
"Маленькая пятёрочка, товара мало!",0
"неплохой магазин, много хороших акции, часто, и в принципе все просто обычный магазин.",1
"Каждый день там бываю, отзывчивые работники",1
Практически без измененийпока гром негрянет,0
"Ассортимент не очень большой, есть парковка! Если бы не кассы самообслуживания было бы совсем грустно,  т.к. вечная проблема количество кассиров. Чистый, светлый иагазин!",1
"Самый лучший магазин на этой точке, персонал как персонал, везде разные люди работают) ",1
Худшая пятерочка из тех которые  посещаю. Постоянно очередь в кассу. Один кассир даже в часы пик и выходные. Ценники часто не соответствуют действительности.,0
Обслужевание отличное,1
Большой выбор. Мало места на парковке,1
"Отличный магазин,вежливые продавцы, люблю туда ходить",1
Не работает второй вход,1
"После ремонта этот магазин чудо, как хорош. Широкий ассортимент товаров, удобное расположение стеллажей.  Есть удобные кассы самообслуживания.  В магазине всегда чисто.",1
"Хорошая и аккуратная пятёрка,рядом с домом ,кассы работают все,кассиры вежливы",1
Проводят какие то мох нации с картами постоянного покупателя. Спрашивают есть карта? Если у вас её нет пробивают новую и выбрасывают,0
"Чисто!Народу не так много,мне это нравится!)",1
На полках отсутствует тот или иной товар. Иду в другую пятёрочка где полки забиты товаром.( Пятёрочка на улице Костылева.). ,0
Не всегда есть товары участвующие в акциях.,1
"Люблю сюда заходить , свежая выпечка , любая ",1
"Мне нравится  , бывают хорошие скидки",1
Персонал доброжелательный! Магазин хороший!,1
Продавцы очень хорошо работают.,1
Очень удобный магасин! Отзывчевые продовцы! Приятно вести деолог с деректором магазина. Советую посещать. Продукты свежии просрочки небывает все в норме!!!!,1
"Продукты не всегда свежие. Иногда уенники старые, а цены новые. Кассиры очень приятные женщины",1
Супер ,1
"Чисто, вежливо, близко, удобно!",1
Постоянные очереди. Когда основной наплыв клиентов-работают 2кассы. Планируйте кол-во кассиров,0
"Не всегда можно купить то,что хотел бы купить.И как то странно гуляют цены,а так,магазин в этом квартале очень удобен,даже если это не была бы ,,Пятёрочка"".",1
"Хорошая, просторная, светлая пятёрка с большим ассортиментом товаров",1
"Хороший большой магазин после ремонта. Ассортимент хороший.Очень свободный, светлый, чистый. Есть где припарковать авто. Мало народу. Рекомендую для покупок.",1
Хороший магазин !Много продукции ! Просрочки нет!,1
"Маленький магаз, выбора мало.",1
"Отличный магазин!
В прекассовой зоне открывается отличный Vape Shop.",1
Нет касс самообслуживания.,1
Много просроченного товара,0
"Сегодня была в этой пятёрочке, покупка вышла примерно на 600 рублей, попросила бравл старс, а их нет! Ну и что это за акция? Дочка расстроилась(",0
"В этом магазине постоянно очереди. 
Работает одна касса. Вторую открывают не часто и не охотно. 
",0
Так здорово и чисто всего хватает,1
"Очень удобный, цены класс, как буд-то в сказке побывал, почти везде всё бесплатно, провёл бы там свой др с удовольствиеи, вместе с директором магазина",1
